,CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,AGEB,Manzana,CLASE_ACTIVIDAD_ID,EDIFICIO_PISO,SECTOR_ACTIVIDAD_ID,SUBSECTOR_ACTIVIDAD_ID,RAMA_ACTIVIDAD_ID,SUBRAMA_ACTIVIDAD_ID,EDIFICIO,Tipo_Asentamiento,Fecha_Alta,AreaGeo
51,09015722211001463022003286S8,6304306,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,CALLE,HAMBURGO,113,0,JUAREZ,06600,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.16445103,19.42638987,,,,0945,015,722516,,72,722,7225,72251,,COLONIA,2010-07,090150001
52,09015722211001413021003286S3,6304427,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,AVENIDA,FRAY SERVANDO TERESA DE MIER,160,,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.13569309,19.42407875,,,,0964,003,722516,,72,722,7225,72251,,COLONIA,2010-07,090150001
53,09017722211000521022003286S0,6305263,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,AVENIDA,FRAY SERVANDO TERESA DE MIER,921,,JARDIN BALBUENA,15900,"VENUSTIANO CARRANZA, Venustiano Carranza, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.10393709,19.41763038,,,,1115,006,722516,,72,722,7225,72251,,COLONIA,2010-07,090170001
54,09015722211000871021003286S3,6305534,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,CALLE,INSURGENTES CENTRO,34,,TABACALERA,06030,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.15620732,19.43809685,,,,070A,007,722516,,72,722,7225,72251,,COLONIA,2010-07,090150001
55,09015722211000191021003286S6,6305535,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,AVENIDA,INSURGENTES SUR,388,,ROMA,03100,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.16724583,19.40939446,,,,1356,010,722516,,72,722,7225,72251,,COLONIA,2010-07,090150001
56,09016722211000411021003286S6,6305536,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,AVENIDA,HOMERO  1416,1416,,POLANCO,11660,"MIGUEL HIDALGO, Miguel Hidalgo, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.20369160,19.43604852,,,,0637,002,722516,,72,722,7225,72251,,COLONIA,2013-07,090160001
57,09005722211001061021003286S1,6305537,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,AVENIDA,AV. 535,116,,UNIDAD SAN JUAN DE ARAGON I,07969,"GUSTAVO A. MADERO, Gustavo A. Madero, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.08931893,19.45569459,,,,231A,020,722516,,72,722,7225,72251,,COLONIA,2010-07,090050001
58,09005722211000531002003286S4,6305978,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,AVENIDA,INSTITUTO POLITECNICO NACIONAL,1925,,LINDAVISTA,07300,"GUSTAVO A. MADERO, Gustavo A. Madero, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.13215045,19.49693996,,,,0722,003,722516,,72,722,7225,72251,,COLONIA,2010-07,090050001
59,09005722211000741021003286S9,6306542,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,AVENIDA,5 Norte (Calzada San Juan de Aragón),516,0,EL COYOL  DELEG. GUSTAVO A MADERO,07090,"GUSTAVO A. MADERO, Gustavo A. Madero, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.09691494,19.47882174,,,,3407,001,722516,,72,722,7225,72251,,COLONIA,2010-07,090050001
60,09003722211000823022003286S0,6319070,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,11 a 30 personas,CALLE,Cerro de Jesús,17,0,CAMPESTRE CHURUBUSCO,04200,"COYOACÁN, Coyoacán, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.14245592,19.34552555,,,,0164,012,722516,,72,722,7225,72251,,COLONIA,2010-07,090030001
